datetime,temp,precip,preciptype,snow,severerisk
2015-01-01,-4,0,,0,
2015-01-02,-2,0.004,snow,0,
2015-01-03,-0.3,9.037,"rain,snow",0.2,
2015-01-04,2.2,10.818,"rain,snow",0.5,
2015-01-05,-9.4,0.259,snow,0.3,
2015-01-06,-9.5,0.002,snow,0,
2015-01-07,-14.1,0.244,snow,0,
2015-01-08,-10.7,0.196,snow,0.6,
2015-01-09,-8.2,1.139,snow,0.4,
2015-01-10,-11.5,0.002,snow,0,
2015-01-11,-3.2,0,"rain,snow",0.3,
2015-01-12,-3.1,1.676,"rain,snow",1,
2015-01-13,-14.1,0.195,snow,0,
2015-01-14,-7.2,0,,0,
2015-01-15,-6.8,0,,0,
2015-01-16,-6.5,0.001,snow,0,
2015-01-17,-5.9,0.007,snow,0,
2015-01-18,3.6,1.048,"rain,snow",0,
2015-01-19,-2,0.058,"rain,snow",0,
2015-01-20,-8.2,0,,0,
2015-01-21,-6.1,0,,0,
2015-01-22,-3.5,0,,0,
2015-01-23,-1.5,0,,0,
2015-01-24,-1.5,0.001,"rain,snow",0,
2015-01-25,-7.8,0,snow,0.3,
2015-01-26,-10,0,snow,0.2,
2015-01-27,-8.7,0.337,snow,0,
2015-01-28,-6,0,,0,
2015-01-29,-1.4,5.863,"rain,snow",2.3,
2015-01-30,-8.5,0.201,"rain,snow",1.3,
2015-01-31,-7.6,0,,0,
2015-02-01,-8.3,2.397,snow,4.7,
2015-02-02,-13,7.577,snow,6.4,
2015-02-03,-8.6,0.001,snow,0,
2015-02-04,-3,1.137,"rain,snow",0.6,
2015-02-05,-10.6,0,,0,
2015-02-06,-6.9,0.6,snow,0.1,
2015-02-07,-3.3,3.671,"rain,snow",1.4,
2015-02-08,-9.2,1.341,snow,2.3,
2015-02-09,-10.7,0.576,snow,0.1,
2015-02-10,-6.7,0,,0,
2015-02-11,-3.3,0.649,"rain,snow",0.3,
2015-02-12,-10.5,0.195,"rain,snow",0.2,
2015-02-13,-14.9,0.001,snow,0,
2015-02-14,-9.3,0.394,snow,0.8,
2015-02-15,-21.3,0.199,snow,0,
2015-02-16,-17.1,0.001,snow,0,
2015-02-17,-10.7,0,snow,0.4,
2015-02-18,-9.1,0.208,snow,0.2,
2015-02-19,-16.4,0,,0,
2015-02-20,-17.1,0.195,snow,2.2,
2015-02-21,-8.3,5.366,snow,2,
2015-02-22,-7.9,0.196,snow,0.5,
2015-02-23,-16.8,0.195,snow,0,
2015-02-24,-11.9,0,snow,0.3,
2015-02-25,-9.8,0.196,snow,0.2,
2015-02-26,-12.5,0.001,snow,0,
2015-02-27,-12.9,0,,0,
2015-02-28,-9.4,0,,0,
2015-03-01,-5.5,0.004,snow,0,
2015-03-02,-4.5,0.001,snow,0,
2015-03-03,-4.9,4.341,"rain,snow",0.9,
2015-03-04,-0.7,0.757,"rain,snow",0.5,
2015-03-05,-11.7,0,,0,
2015-03-06,-9.2,0,,0,
2015-03-07,-2.9,0.001,"rain,snow",0.1,
2015-03-08,0,0,,0,
2015-03-09,2.7,0,,0,
2015-03-10,2,0,,0,
2015-03-11,5.2,0.096,rain,0,
2015-03-12,1.2,0,,0,
2015-03-13,1.3,0,,0,
2015-03-14,3.8,0.581,rain,0,
2015-03-15,3.1,0,,0,
2015-03-16,3.9,0.956,rain,0,
2015-03-17,2.6,1.626,"rain,snow",0,
2015-03-18,-1.4,0,,0,
2015-03-19,-1.7,0,,0,
2015-03-20,2.3,0,,0,
2015-03-21,2.7,3.868,"rain,snow",0.1,
2015-03-22,-5,0.001,snow,0,
2015-03-23,-6.3,0,,0,
2015-03-24,-3.4,0,,0,
2015-03-25,1.4,2.139,"rain,snow",0,
2015-03-26,3.7,1.559,"rain,snow",0.3,
2015-03-27,-2.1,0,,0,
2015-03-28,-5.1,0,,0,
2015-03-29,-0.6,0,,0,
2015-03-30,4.3,0.001,rain,0,
2015-03-31,1.5,0,,0,
2015-04-01,2.1,0,,0,
2015-04-02,7.5,1.88,rain,0,
2015-04-03,7.7,2.647,rain,0,
2015-04-04,2.7,1.191,"rain,snow",0,
2015-04-05,0.6,0.396,"rain,snow",0.2,
2015-04-06,3.4,0,,0,
2015-04-07,3.9,0,,0,
2015-04-08,2.7,14.818,"rain,snow",0.2,
2015-04-09,3.8,3.078,rain,0,
2015-04-10,10,9.216,rain,0,
2015-04-11,6.7,0,,0,
2015-04-12,9.9,0,,0,
2015-04-13,11.8,2.395,rain,0,
2015-04-14,11.2,0.756,rain,0,
2015-04-15,10.3,0,,0,
2015-04-16,9.4,0.001,rain,0,
2015-04-17,13,0.715,rain,0,
2015-04-18,14.1,0,,0,
2015-04-19,8,0,,0,
2015-04-20,9,33.571,rain,0,
2015-04-21,7.7,4.926,rain,0,
2015-04-22,5.4,0.631,rain,0,
2015-04-23,1.7,0,,0,
2015-04-24,3,0,,0,
2015-04-25,4.7,0,,0,
2015-04-26,8,0,,0,
2015-04-27,8.7,0.002,rain,0,
2015-04-28,12.4,0,,0,
2015-04-29,13.1,0,,0,
2015-04-30,12.3,0,,0,
2015-05-01,14.8,0,,0,
2015-05-02,14.9,0,,0,
2015-05-03,16.6,0,,0,
2015-05-04,16.7,0.395,rain,0,
2015-05-05,13.4,0,,0,
2015-05-06,14.9,0,,0,
2015-05-07,16.4,0,,0,
2015-05-08,17.9,0.002,rain,0,
2015-05-09,19.7,0,,0,
2015-05-10,20,2.043,rain,0,
2015-05-11,14.6,3.145,rain,0,
2015-05-12,14.3,1.335,rain,0,
2015-05-13,10.1,0,,0,
2015-05-14,11.3,0,,0,
2015-05-15,11.5,0.098,rain,0,
2015-05-16,16.7,0,,0,
2015-05-17,17.1,0,,0,
2015-05-18,19.3,0,,0,
2015-05-19,14.7,0,,0,
2015-05-20,9.3,0,,0,
2015-05-21,13.5,0,,0,
2015-05-22,11.2,0,,0,
2015-05-23,11.1,0,,0,
2015-05-24,17.7,0,,0,
2015-05-25,19.5,0.001,rain,0,
2015-05-26,22,0,,0,
2015-05-27,19.8,0.003,rain,0,
2015-05-28,19.8,0,,0,
2015-05-29,18.9,0.003,rain,0,
2015-05-30,19.6,17.67,rain,0,
2015-05-31,9.3,24.783,rain,0,
2015-06-01,11.8,0.582,rain,0,
2015-06-02,13.3,0,,0,
2015-06-03,13.9,0,,0,
2015-06-04,15.8,0,,0,
2015-06-05,18.2,18.559,rain,0,
2015-06-06,14.4,0,,0,
2015-06-07,14.6,0.011,rain,0,
2015-06-08,18.5,34.963,rain,0,
2015-06-09,18.1,1.14,rain,0,
2015-06-10,18.5,22.151,rain,0,
2015-06-11,18.5,0,,0,
2015-06-12,17.1,5.717,rain,0,
2015-06-13,18,0,,0,
2015-06-14,17.3,2.797,rain,0,
2015-06-15,19.5,0.008,rain,0,
2015-06-16,21.9,22.355,rain,0,
2015-06-17,18.2,0,,0,
2015-06-18,20.2,0,,0,
2015-06-19,18,0,,0,
2015-06-20,17.3,0,,0,
2015-06-21,22.1,0,,0,
2015-06-22,21.5,0.457,rain,0,
2015-06-23,21.5,21.463,rain,0,
2015-06-24,19.5,0,,0,
2015-06-25,19.4,0,,0,
2015-06-26,19.7,0,,0,
2015-06-27,16.7,28.947,rain,0,
2015-06-28,13.5,19.126,rain,0,
2015-06-29,18.6,0.001,rain,0,
2015-06-30,16.7,0.001,rain,0,
2015-07-01,19,0,,0,
2015-07-02,17.9,0,,0,
2015-07-03,17.8,0,,0,
2015-07-04,19.7,0,,0,
2015-07-05,21.5,0,,0,
2015-07-06,22,0,,0,
2015-07-07,21.9,9.862,rain,0,
2015-07-08,17.9,0.289,rain,0,
2015-07-09,18.3,0.006,rain,0,
2015-07-10,20.4,0,,0,
2015-07-11,22.5,0,,0,
2015-07-12,23.5,0,,0,
2015-07-13,23,0,,0,
2015-07-14,22.5,1.157,rain,0,
2015-07-15,17.6,0.348,rain,0,
2015-07-16,18.7,0,,0,
2015-07-17,18.5,4.734,rain,0,
2015-07-18,23.8,0.064,rain,0,
2015-07-19,25.7,0.153,rain,0,
2015-07-20,23.3,0,,0,
2015-07-21,23.1,0,,0,
2015-07-22,20.9,0,,0,
2015-07-23,21.2,0,,0,
2015-07-24,22,0,,0,
2015-07-25,24,0,,0,
2015-07-26,24.3,0,,0,
2015-07-27,25.8,0,,0,
2015-07-28,26.3,0,,0,
2015-07-29,26.4,0,,0,
2015-07-30,26.3,0,,0,
2015-07-31,23.6,0.018,rain,0,
2015-08-01,21.3,0.505,rain,0,
2015-08-02,20.9,6.779,rain,0,
2015-08-03,21,4.189,rain,0,
2015-08-04,19.7,2.421,rain,0,
2015-08-05,19.2,0.88,rain,0,
2015-08-06,18.6,0,,0,
2015-08-07,19.8,0,,0,
2015-08-08,19.7,0,,0,
2015-08-09,20.3,0,,0,
2015-08-10,18.8,13.623,rain,0,
2015-08-11,21.4,0.686,rain,0,
2015-08-12,19.9,0,,0,
2015-08-13,20,0,,0,
2015-08-14,22.1,3.402,rain,0,
2015-08-15,23.6,0,,0,
2015-08-16,24.4,0,,0,
2015-08-17,25,0,,0,
2015-08-18,23.1,0.421,rain,0,
2015-08-19,24.2,0,,0,
2015-08-20,23.2,7.966,rain,0,
2015-08-21,19.8,0,,0,
2015-08-22,19.1,0,,0,
2015-08-23,19.9,0,,0,
2015-08-24,21,0.943,rain,0,
2015-08-25,17.9,0,,0,
2015-08-26,17.7,0,,0,
2015-08-27,17.1,0,,0,
2015-08-28,18,0,,0,
2015-08-29,19.6,0,,0,
2015-08-30,22,0,,0,
2015-08-31,23.7,0,,0,
2015-09-01,22.8,0,,0,
2015-09-02,24.2,1.086,rain,0,
2015-09-03,24.8,0,,0,
2015-09-04,23.7,0,,0,
2015-09-05,23.7,0,,0,
2015-09-06,25,0.013,rain,0,
2015-09-07,26.2,0.642,rain,0,
2015-09-08,25.4,6.413,rain,0,
2015-09-09,22.8,7.075,rain,0,
2015-09-10,19.3,0,,0,
2015-09-11,18.6,0.835,rain,0,
2015-09-12,13.9,17.412,rain,0,
2015-09-13,13,5.243,rain,0,
2015-09-14,16.8,0,,0,
2015-09-15,19.9,0,,0,
2015-09-16,21.6,0,,0,
2015-09-17,21.7,0,,0,
2015-09-18,21.6,0,,0,
2015-09-19,19.8,5.487,rain,0,
2015-09-20,14.5,0,,0,
2015-09-21,15.5,0,,0,
2015-09-22,16.8,0,,0,
2015-09-23,18,0,,0,
2015-09-24,18.8,0,,0,
2015-09-25,17.7,0,,0,
2015-09-26,16,0,,0,
2015-09-27,18.1,0.001,rain,0,
2015-09-28,19.6,2.148,rain,0,
2015-09-29,18.3,9.789,rain,0,
2015-09-30,14.6,0.001,rain,0,
2015-10-01,10.7,0,,0,
2015-10-02,9.7,0,,0,
2015-10-03,10.2,0.063,rain,0,
2015-10-04,12.4,0.004,rain,0,
2015-10-05,13.2,0.004,rain,0,
2015-10-06,14.8,0.002,rain,0,
2015-10-07,15.2,0,,0,
2015-10-08,12,0.001,rain,0,
2015-10-09,12.8,7.614,rain,0,
2015-10-10,11.1,0,,0,
2015-10-11,16.3,0,,0,
2015-10-12,17.7,5.791,rain,0,
2015-10-13,15.8,0.576,rain,0,
2015-10-14,11.1,0,,0,
2015-10-15,11,2.113,rain,0,
2015-10-16,8.8,0.491,rain,0,
2015-10-17,3.3,0,,0,
2015-10-18,3.1,0,,0,
2015-10-19,8.2,0.355,rain,0,
2015-10-20,14.5,0.515,rain,0,
2015-10-21,11.2,0.001,rain,0,
2015-10-22,13.6,1.837,rain,0,
2015-10-23,6.3,0,,0,
2015-10-24,10.1,7.251,rain,0,
2015-10-25,11.2,3.214,rain,0,
2015-10-26,7.5,0,,0,
2015-10-27,8.4,0,,0,
2015-10-28,11.1,55.943,rain,0,
2015-10-29,9.3,0.512,rain,0,
2015-10-30,6.8,0,,0,
2015-10-31,7.6,0,,0,
2015-11-01,11.8,4.252,rain,0,
2015-11-02,10.3,0,,0,
2015-11-03,13.7,0,,0,
2015-11-04,12.2,0,,0,
2015-11-05,14.4,0,,0,
2015-11-06,14.8,2.97,rain,0,
2015-11-07,8.8,0.002,rain,0,
2015-11-08,6.6,0,,0,
2015-11-09,6.8,0,,0,
2015-11-10,7.9,12.75,rain,0,
2015-11-11,9.5,2.894,rain,0,
2015-11-12,9.6,1.287,rain,0,
2015-11-13,7.4,0,,0,
2015-11-14,4.1,0,,0,
2015-11-15,8.8,0,,0,
2015-11-16,8,0,,0,
2015-11-17,6.1,0,,0,
2015-11-18,10.7,0.639,rain,0,
2015-11-19,12.7,0.841,rain,0,
2015-11-20,4.8,0,,0,
2015-11-21,4.6,1.192,rain,0,
2015-11-22,1.7,2.034,"rain,snow",0,
2015-11-23,-0.5,0,,0,
2015-11-24,2.8,0.852,"rain,snow",0,
2015-11-25,5,0.195,rain,0,
2015-11-26,10.4,0,,0,
2015-11-27,9,1.886,"rain,snow",0,
2015-11-28,1,0.587,"rain,snow",0,
2015-11-29,0.8,0,,0,
2015-11-30,1.5,0,,0,
2015-12-01,5.9,1.588,rain,0,
2015-12-02,5.9,0.195,rain,0,
2015-12-03,4.8,0,,0,
2015-12-04,5.6,0,,0,
2015-12-05,4.4,0,rain,0.1,
2015-12-06,2.4,0,"rain,snow",0.2,
2015-12-07,4.1,0,,0,
2015-12-08,5.1,0,,0,
2015-12-09,8.2,0,,0,
2015-12-10,8.4,0.057,rain,0,
2015-12-11,9.7,0,,0,
2015-12-12,7.2,0.39,rain,0,
2015-12-13,6.4,0.058,rain,0,
2015-12-14,10,2.725,rain,0,
2015-12-15,7.3,0.623,rain,0,
2015-12-16,4,0.733,rain,0,
2015-12-17,6.9,0.59,rain,0,
2015-12-18,1.9,0,,0,
2015-12-19,-1.2,0,,0,
2015-12-20,1.6,0,,0,
2015-12-21,6.5,2.927,rain,0,
2015-12-22,9.6,2.087,rain,0,
2015-12-23,8.8,0.291,rain,0,
2015-12-24,10.9,0.511,rain,0,
2015-12-25,7,0.001,rain,0,
2015-12-26,3.5,0.241,rain,0,
2015-12-27,2.7,4.45,rain,0,
2015-12-28,-3.2,6.358,"rain,snow",1.5,
2015-12-29,3.1,41.321,"rain,snow",3.1,
2015-12-30,3,0.057,rain,0,
2015-12-31,1.6,0.002,"rain,snow",0,
2016-01-01,-0.9,0.646,"rain,snow",0,
2016-01-02,-0.6,0.195,"rain,snow",0,
